entity_id,toxic_score
HkeGtr3nqfrm76gXiXij8KsyE6b9HK2vGFNJFEvBYESB,30321.005755337043
undefined,9738
BNtHBLo1L2vAG7PBQ6mJvWz7GqVPxBnioXsY2Gjtubrg,125.1978770606798
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,55.19362036024534
2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc,49.77751995804092
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,43.586957302185645
7zujqoQsFic14ncDYhBSVGvDnqc94rE49c1ZJCHvAtiW,40.235947810852515
HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,38.55808802680665
bookoVmqw4QjVj5BbkFacouadx9M7816wyRkfM7A5Lo,36.94680261461362
8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,31.617707520508436
BCeczqpTRPigndHVJu1KEzno1Uhb4hjrE7ttmAndrV1p,27.725887222397812
eyeYaqg9e2L6xw7YwsSLm27eWJfhLNAm6ETQm8TXNoK,27.07159331032334
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,26.795621824375534
6NDen7aDi65apHo8m1Vea4nuS6LyjQeM6pDNqcW4Q5Pg,26.390573296152585
74Xkp2iLXm315h69sFRiCFjmKnaWkMV8W2LgJwPRSgN5,22.051632735643107
6JbQNigcDnUmoLBpeQVBWw1PoWuwCuSCzp4TBjbBC1jP,21.868838410861972
91oPXTs2oq8VvJpQ5TnvXakFGnnJSpEB6HFWDtSctwMt,21.793478651092823
PoN1E3VyqwqoGQEhC8ExpkRKTuyhxtGLnHHH3DwbgTU,21.793478651092823
43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,21.793478651092823
5ivRNcK1yThcK3koZR1oikAfuNm6rj1LceMskayoVSzc,21.66440160881768
2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,21.66440160881768
EdFUcP2f6j9iBg5BqsgJn3WDr1JieiKCo41hZ5Zrsk6w,21.112458636922067
hy1oMaD3ViyJ8i6w1xjP79zAWBBaRd1zWdTW8zYXnwu,21.112458636922067
8ebFZA8NPLBZD91CwsG1HWQsa2B5Ludgdyf5Hi3sYhhs,17.892749652283435
